thumbnail,data_formatada
http://pbs.twimg.com/ext_tw_video_thumb/1572820362164948992/pu/img/dIeyAuZLWuPzWA9h.jpg,20220922
http://pbs.twimg.com/media/FdLbD2RWAAAAhM8.jpg,20220921
,20220920
https://scontent-gru1-2.xx.fbcdn.net/v/t39.30808-6/307850465_647220270104028_2910442291035180273_n.jpg?stp=dst-jpg_s130x130&_nc_cat=100&ccb=1-7&_nc_sid=8024bb&_nc_ohc=DRlPceBjnjYAX85D01X&_nc_ht=scontent-gru1-2.xx&edm=AKK4YLsEAAAA&oh=00_AT-ffMj59XfyxQUoYJw1qmOLGQETI12T45jt98T2lO9RLA&oe=632EFFC5,20220920
https://scontent-gru2-2.xx.fbcdn.net/v/t15.5256-10/308014144_190280726741782_9183413692683961571_n.jpg?stp=dst-jpg_s130x130&_nc_cat=102&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=8WF5pE0zqGIAX_LqKs1&_nc_ht=scontent-gru2-2.xx&edm=AKK4YLsEAAAA&oh=00_AT9cayNGgzgEFT-HlXCpYoqnXmGGfs_LK4u2uWFN2fLTeA&oe=63306CFD,20220921
https://scontent-gru1-1.xx.fbcdn.net/v/t15.5256-10/308398018_616657769865875_6479506701495562011_n.jpg?stp=dst-jpg_s130x130&_nc_cat=110&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=QnSzth5Hf18AX_iO0fK&_nc_ht=scontent-gru1-1.xx&edm=AKK4YLsEAAAA&oh=00_AT_TbrJMWV88XfXOL1ZYQlKr7bFb43KVCP6cl73fAL9TQA&oe=632FEC70,20220921
https://scontent-gru1-1.xx.fbcdn.net/v/t15.5256-10/308398018_616657769865875_6479506701495562011_n.jpg?stp=dst-jpg_s130x130&_nc_cat=110&ccb=1-7&_nc_sid=ad6a45&_nc_ohc=QnSzth5Hf18AX_iO0fK&_nc_ht=scontent-gru1-1.xx&edm=AKK4YLsEAAAA&oh=00_AT_TbrJMWV88XfXOL1ZYQlKr7bFb43KVCP6cl73fAL9TQA&oe=632FEC70,20220921
https://scontent-gru1-2.xx.fbcdn.net/v/t39.30808-6/308431171_624558505696209_5029719897150665919_n.jpg?stp=dst-jpg_p130x130&_nc_cat=100&ccb=1-7&_nc_sid=8024bb&_nc_ohc=Jvm7-pWwMcwAX9L0MTw&_nc_ht=scontent-gru1-2.xx&edm=AKK4YLsEAAAA&oh=00_AT_LiDXG9IYfnPaDPIX5X0d-7hvtF1bV-SnpDLkHmhf2cA&oe=63305031,20220921
https://scontent-gru1-1.xx.fbcdn.net/v/t39.30808-6/307993511_652438309576673_553428993089568562_n.jpg?stp=dst-jpg_s130x130&_nc_cat=104&ccb=1-7&_nc_sid=8024bb&_nc_ohc=strAZlAS93sAX_gtyhw&_nc_ht=scontent-gru1-1.xx&edm=AKK4YLsEAAAA&oh=00_AT-zbpZANRX4HJmVLyVEJzo70WHu1lry-BZFKI2d2FSjKQ&oe=632FA3ED,20220920
https://scontent-gru1-2.xx.fbcdn.net/v/t39.30808-6/308078173_678352426979739_4721013264357212863_n.jpg?stp=dst-jpg_p130x130&_nc_cat=100&ccb=1-7&_nc_sid=8024bb&_nc_ohc=OoYCK3-uEcUAX9buaCG&_nc_ht=scontent-gru1-2.xx&edm=AKK4YLsEAAAA&oh=00_AT8kArfi8jBOGpkedrFbrO8uRVzCNzryx2qb7ls8VtuHfQ&oe=632F2608,20220920
